"resource_id","category_id"
"38905174","5653"
"38905174","5656"
"38905174","5658"
"38904811","5567"
"38904811","5653"
"38904811","5656"
"38904811","5658"
"38903864","5567"
"38903864","5653"
"38903864","5658"
"38905546","5567"
"38907042","5567"
"38907042","5653"
"38907042","5658"
"38907078","5567"
"38907078","5570"
"38904001","5567"
"38904001","5562"
"38904001","5563"
"38904001","5564"
"38904001","5623"
"38904009","5567"
"38904497","5567"
"38904497","5656"
"38904497","5658"
"38905056","5567"
"38905787","5567"
"38905787","5651"
"38905788","5567"
"38905789","5567"
"38905790","5567"
"61856905","5567"
"38903804","5567"
"38903804","5653"
"38907044","5567"
"38907044","5569"
"38907044","5616"
"38903542","5567"
"38903542","5658"
"38906603","5568"
"38906277","5568"
"38906593","5568"
"38906596","5568"
"38906590","5568"
"38906592","5568"
"38906599","5568"
"38906601","5568"
"38906602","5568"
"38906598","5568"
"38904263","5569"
"38905361","5570"
"38906530","5570"
"38903376","5570"
"38905867","5570"
"38905867","5658"
"38904123","5570"
"38904123","5653"
"38904123","5658"
"38903873","5570"
"38906817","5570"
"38906663","5570"
"38903434","5570"
"38905413","5570"
"38905051","5570"
"38905051","5658"
"38906733","5570"
"38906733","5658"
"38905183","5570"
"38907057","5570"
"38905928","5570"
"38905928","5579"
"38905928","5623"
"38905835","5570"
"38905835","5658"
"38898793","5571"
"38898793","5615"
"38898793","5617"
"38905455","5571"
"38905455","5615"
"38905455","5617"
"38898921","5571"
"38898921","5615"
"38898921","5617"
"38904651","5571"
"38904651","5578"
"38904651","5615"
"38904651","5617"
"38904651","5658"
"38905043","5571"
"38905043","5615"
"38905043","5617"
"38905043","5651"
"38905043","5653"
"38906730","5572"
"38905821","5572"
"38905821","5588"
"38904967","5572"
"38904112","5572"
"38904878","5587"
"38904878","5573"
"38904878","5586"
"38906891","5587"
"38906891","5573"
"38906891","5586"
"38904855","5587"
"38904855","5573"
"38904855","5586"
"38903924","5587"
"38903924","5573"
"38903924","5584"
"38903924","5585"
"38903924","5586"
"38904046","5587"
"38904046","5573"
"38904046","5586"
"38904305","5587"
"38904305","5573"
"38904305","5585"
"38904305","5586"
"38907209","5587"
"38907209","5573"
"38907209","5586"
"38907209","5610"
"38903461","5672"
"38903461","5562"
"38903461","5563"
"38903461","5564"
"38903461","5668"
"38903495","5672"
"38903495","5668"
"38905557","5672"
"38905557","5668"
"38905233","5573"
"38905233","5577"
"38904644","5573"
"38904644","5575"
"38904524","5573"
"38904524","5578"
"38904524","5579"
"38904524","5584"
"38904524","5665"
"38904758","5573"
"38904758","5641"
"62313761","5573"
"38904809","5573"
"38904809","5574"
"38904809","5562"
"38904809","5563"
"38904809","5564"
"38904809","5665"
"38904325","5573"
"38904325","5574"
"38905856","5573"
"38905099","5573"
"38905099","5574"
"38904726","5573"
"38904726","5574"
"38904726","5584"
"38904257","5573"
"38906746","5573"
"68094744","5573"
"68094744","5575"
"38907270","5573"
"38907270","5605"
"38905023","5573"
"38906691","5573"
"38905332","5573"
"38905332","5665"
"61912883","5573"
"61912883","5576"
"38905421","5573"
"38905234","5573"
"38907269","5573"
"38906615","5573"
"69164727","5573"
"38903947","5573"
"38903947","5578"
"38904062","5573"
"38904062","5575"
"38905910","5573"
"38905910","5576"
"38905701","5573"
"38905701","5635"
"38904442","5573"
"38904442","5575"
"38905425","5573"
"38905425","5578"
"38903910","5573"
"38903910","5578"
"38903910","5579"
"38904311","5573"
"38906240","5573"
"38906240","5640"
"58632478","5573"
"38905541","5573"
"38905541","5574"
"38905534","5573"
"38905534","5576"
"38905834","5573"
"38905834","5575"
"38905282","5573"
"38905167","5573"
"38905167","5578"
"38905167","5579"
"38905410","5573"
"38903624","5573"
"38904179","5573"
"38904179","5665"
"38904481","5573"
"38904481","5635"
"38903902","5578"
"38903860","5578"
"38906329","5578"
"38906135","5578"
"38903989","5578"
"38903989","5562"
"38903989","5563"
"38903989","5564"
"38903989","5665"
"38904004","5578"
"38904004","5583"
"38904895","5578"
"38904297","5578"
"38903664","5578"
"38903664","5579"
"38903664","5665"
"38904077","5578"
"38904077","5581"
"38904077","5648"
"38903935","5578"
"38903935","5581"
"38903935","5648"
"38906290","5578"
"38906290","5579"
"38906290","5584"
"38904238","5578"
"38905034","5578"
"38905071","5578"
"38905071","5562"
"38905071","5563"
"38905071","5564"
"38903471","5578"
"38903471","5562"
"38903471","5563"
"38903471","5564"
"38903473","5578"
"38903473","5648"
"38905291","5578"
"38905291","5648"
"38904274","5578"
"38904274","5579"
"38904827","5578"
"38904827","5583"
"41801513","5578"
"38907275","5578"
"38903543","5578"
"38903543","5665"
"38906328","5578"
"38903508","5578"
"38903859","5578"
"38903859","5665"
"38905176","5578"
"38904456","5578"
"38904456","5579"
"38904456","5581"
"38903810","5578"
"38903810","5579"
"38905929","5578"
"38905929","5561"
"38905929","5628"
"38905929","5629"
"38907114","5578"
"38904075","5578"
"38904075","5665"
"38906703","5578"
"38904072","5578"
"38904072","5579"
"38904072","5581"
"38904072","5665"
"38903381","5578"
"38903381","5579"
"38903381","5611"
"38903875","5578"
"38903875","5651"
"38903875","5653"
"38903875","5658"
"38903886","5578"
"40783051","5579"
"38905885","5579"
"38905885","5562"
"38905885","5563"
"38905885","5564"
"38905885","5665"
"38903489","5579"
"38904500","5579"
"38904500","5561"
"38904500","5562"
"38904500","5563"
"38904500","5564"
"38906732","5579"
"38904429","5579"
"38904429","5562"
"38904429","5563"
"38904429","5564"
"38904070","5579"
"38904070","5665"
"38903982","5579"
"38903982","5584"
"38905801","5579"
"38903699","5579"
"38905906","5579"
"38905906","5656"
"38904079","5579"
"38904079","5665"
"38903380","5579"
"38904658","5580"
"38904658","5562"
"38904658","5563"
"38904658","5564"
"38904185","5580"
"38903901","5580"
"38904853","5580"
"38905770","5580"
"38905168","5580"
"38905909","5583"
"38905126","5584"
"38905547","5584"
"38905547","5562"
"38905547","5563"
"38905547","5564"
"38905547","5609"
"38903728","5584"
"38907152","5584"
"38907202","5584"
"38907202","5661"
"38904160","5584"
"38906876","5584"
"38906876","6006"
"38905609","5584"
"38905609","6006"
"38906569","5584"
"38906569","5663"
"38905354","5584"
"38905285","5584"
"38905272","5584"
"38905272","5609"
"38905272","5664"
"38905272","5667"
"38906965","5584"
"38905883","5584"
"38904250","5584"
"38903640","5584"
"38903640","5562"
"38903640","5563"
"38903640","5564"
"38903773","5584"
"38903773","5662"
"67744055","5584"
"38905607","5584"
"38905607","6006"
"38904821","5584"
"38904821","5585"
"38903769","5584"
"38903769","6006"
"38903446","5584"
"38903446","5562"
"38903446","5563"
"38903446","5564"
"38903446","5665"
"38905436","5584"
"38905123","5584"
